recipe_id,recipe_ingredient
7028266,"['오이', '깨소금', '참기름', '레몬즙', '소금', '깨소금', '참기름', '레몬즙', '알룰로스', '소금']"
7028265,"['훈제오리', '부추', '양파', '고춧가루', '진간장', '설탕', '식초', '들기름', '깨']"
7028264,"['밥', '어묵', '김밥김', '식용유', '간장', '설탕', '올리고당']"
7028263,"['김밥햄', '맛살', '오이', '단무지', '계란', '당근', '어묵', '우엉', '밥', '참기름 조금', '깨 조금']"
7028262,"['항정살', '양파', '대파', '통마늘', '월계수잎', '소금', '물', '청주', '다진마늘', '소금', '올리브오일', '우스터소스', '꿀']"
7028261,"['먹물 치아바타', '양송이', '양파', '베이컨', '계란', '바질페스토', '마요네즈', '토마토소스', '모짜렐라치즈']"
7028260,"['밥', '묵은지', '참치캔', '청양고추', '홍고추', '깻잎', '설탕', '참기름', '마요네즈', '후추', '소금']"
7028259,"['샌드위치햄', '슬라이스치즈', '청양고추', '밥', '참기름', '김밥김', '다진마늘', '진간장', '설탕', '맛술']"
7028258,"['파마산치즈', '양송이버섯', '모짜렐라 치즈', '후추 톡톡']"
7028257,"['돼지고기', '신김치', '두부', '양파', '대파', '청양고추', '다진마늘', '고춧가루', '국간장', '소금', '참기름', '동전육수', '물']"
7028256,"['조개젓갈', '무우', '청양고추', '대파', '두부', '다진마늘', '국간장', '참치액젓', '후추가루 톡톡']"
7028254,"['식빵', '치즈', '샌드위치햄', '마요네즈']"
7028253,"['냉동만두', '밀가루', '물', '간장']"
7028252,"['양송이', '연두부', '애호박', '다진 마늘', '다진 양파', '고추장', '된장', '깨', '설탕', '들기름']"
7028251,"['식빵', '버터', '딸기잼 듬뿍  (기호에 따라 케찹+마요네즈+설탕 추가)', '슬라이스햄', '치즈', '식용유 약간', '양배추 작은 것', '양파', '당근', '계란', '소금', '후춧가루 약간']"
7028250,"['오이', '양파', '다진마늘', '고추장', '고춧가루', '된장', '양조간장', '2배식초', '황설탕', '통깨 약간']"
7028249,"['양배추', '미니 삼색파프리카', '올리브유 약간', '참기름', '통들깨', '진간장', '굴소스', '올리고당']"
7028248,"['두부', '양파', '애호박', '표고버섯', '대파', '참기름', '멸치다시마 육수', '된장', '고추장', '설탕', '다진마늘', '케일', '밥 취향껏', '참기름 취향껏', '소금 취향껏', '깨소금 약간']"
7028247,"['계란', '대파', '소금', '참치', '식용유', '케찹']"
7028246,"['콩나물', '채선 무', '육수', '대파', '청양고추', '고추씨', '국간장', '소금 ( 취향껏)', '마늘']"
7028245,"['농심 둥지냉면 비빔냉면', '만두피', '계란', '식용유', '설탕', '상추', '간장', '식초', '참기름', '통깨 조금', '고춧가루 조금', '물']"
7028244,"['가지', '파프리카', '간장', '참치액', '깨소금', '들기름', '마늘', '고춧가루']"
7028243,"['생물 오징어', '버터', '설탕 적당히', '파슬리가루 적당히']"
7028242,"['골뱅이 통조림', '소면', '오이', '당근', '깻잎', '청양고추', '홍고추', '통깨', '냉면 육수', '초고추장', '식초', '설탕', '다진 마늘', '참기름 약간']"
7028241,"['밥', '오이', '깻잎', '체다치즈', '식초', '설탕', '소금', '참치캔', '마요네즈', '소금 소심한', '후추 약간', '쌈장', '고추장', '청양고추', '꿀']"
7028240,"['해물믹스', '실곤약면', '양파', '파프리카', '굴소스', '다진마늘', '닭가슴살']"
7028239,"['두부', '전분가루', '카레가루', '소금', '간장', '고추장', '케첩', '올리고당', '다진마늘', '설탕', '물']"
7028238,"['콩나물', '물', '청양고추', '대파', '다진마늘', '국간장', '꽃소금', '맛소금 (선택)']"
7028237,"['데친 깻잎 순', '국간장', '간장', '참기름', '고춧가루', '다진 마늘', '매실청', '간 깨']"
7028236,"['소고기 육전용', '계란', '밀가루', '파채', '간장', '고춧가루', '식초', '설탕', '참기름', '깨', '소금 약간', '후추 약간']"
7028235,"['참외', '올리브유', '레몬즙', '알룰로스', '화이트 발사믹', '소금', '후추', '허브']"
7028234,"['두부', '대파', '돼지고기 다짐육', '후추', '다진마늘', '고추장', '고춧가루', '굴소스', '진간장', '황설탕', '맛술', '된장', '전분가루', '물', '참기름']"
7028233,"['밥', '스팸', '계란', '대파', '올리브오일', '진간장', '파슬리가루 솔솔', '통깨 솔솔솔']"
7028232,"['돼지고기 앞다리살 약', '시래기 총', '중간크기 감자', '양파', '대파 약', '깻잎', '사골육수', '된장', '맛술', '쇠고기다시다', '양조간장', '고추장 듬뿍', '고춧가루', '까나리액젓', '다진마늘', '생강 소량', '들깻가루 (취향껏 추가)']"
7028231,"['돼지고기 앞다리살', '청주', '다진생강 소량', '양파', '대파', '마늘종', '양조간장', '설탕', '물', '고춧가루', '참기름', '두반장', '통깨 소량']"
7028230,"['오이', '두메 부추 조금', '맛소금', '비정제설탕', '식초', '매실액', '다진마늘', '고추가루', '고추장', '참기름']"
7028229,"['목살', '공기밥', '계란', '양파', '표고버섯', '애호박', '파프리카 소량', '후추 소량', '하프 마요네즈 취향껏', '다진마늘', '돈까스 소스', '굴소스', '소금', '후추', '맛술']"
7028228,"['무', '대파', ' 소금', '설탕', '고춧가루', '다진마늘', '매실청', '식초']"
7028227,"['카레가루', '돼지고기등심', '양파', '당근', '감자', '브로콜리', '새송이버섯', '진간장', '식용유', '케첩', '물']"
7028226,"[' 소면', '김치', '당근', '깻잎', '삶은계란', ' 고추장', '고춧가루', '간장', '올리고당', '식초', '참기름', '통깨']"
7028225,"[' 순 메밀면', '생들기름', '물', '계란', '김', '새싹채소', '쪽파', '참깨 가루 (선택사항 )', '간장', '양조간장', '굴 농축액', '간 사과', '간 양파']"
7028224,"['미역귀', '쌀뜨물', '닭 가슴살', '감자', '양파', '표고버섯', '들깨가루', '국간장']"
7028223,"['꽈리고추', '멸치', '마늘 (통마늘)', '간장', '올리고당', '다진마늘', '맛술', '참기름', '통깨']"
7028222,"['시금치', '국간장', '참기름', '다진마늘', '소금', '통깨']"
7028221,"['물 적당량 (뜨거운물)', '소금 약간', '스파게티면', '올리브오일 약간', '다진마늘', '페퍼론치노', '새우', '우유', '생크림', '바질페스토', '파스타면', '면수', '후추 약간', '바게트빵']"
7028220,"['밥', '우유', '치즈', '닭가슴살', '양파', '다진마늘', '표고버섯']"
7028219,"['오징어', '대파', '양파', '당근', '다진마늘', '고춧가루', '후추', '미림', '육수', '다시다']"
7028218,"['소고기다짐육', '감자', '양파', '다진마늘', '호박', '청양고추', '홍고추', '된장', '건표고버섯 넉넉히', '들기름', '대파 넉넉히']"
7028217,"['머위대', '국간장', '멸치액젓', '고운소금', '식용유', '다진마늘', '멸치다시마육수', '다진파', '들기름', '깨', '물', '들깨가루', '찹쌀가루']"
7028216,"['둥지냉면', '진간장', '참기름']"
7028215,"['부추', '양파', '고추가루', '참깨', '꽃게액젓', '배즙 음료', '양파', '마늘', '생강', '새우젓', '매실청']"
7028214,"['삼겹살', '팽이버섯', '오일', '청양고추', '물', '양조간장', '올리고당', '맛술']"
7028213,"['만두', '물', '식용유', '간장', '식초', '고춧가루 약간']"
7028212,"['마른김', '스팸', '밥', '참기름 약간', '깨 약간']"
7028211,"['컬리플라워', '두부', '새우', '파프리카', '계란']"
7028210,"['닭봉', '튀김가루', '식용유', '간장', '굴소스', '설탕', '물엿', '맛술', '다진마늘', '물', '소금', '후추']"
7028209,"['닭안심살', '애호박', '파프리카', '양배추', '자색양배추', '두부', '냉동새우', '소금', '간장', '참기름', '통깨']"
7028208,"['산딸기', '담금주', '설탕', '식초']"
7028207,"['마른미역', '크래미', '오이', '무', '식초', '매실청', '소금', '설탕', '마늘', '연겨자', '통깨']"
7028206,"['꽈리고추', '마늘', '설탕', '만능간장', '고추장', '올리고당', '식용유', '물', '참기름', '깨']"
7028205,"['밀떡', '어묵', '고추장', '설탕', '고춧가루', '카레가루', '다시다', '후추', '간장', '올리고당', '마늘', '물', '소세지']"
7028204,"['계란', '모닝빵', '마요네즈', '설탕', '소금', '후추', '소금']"
7028203,"['계란', '양배추', '소금', '슬라이스치즈', '소시지']"
