seasonal_name,seasonal_month,seasonal_image
산마늘,4,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=FILE_000000000008233&fileSn=1
울외,6,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=FILE_000000000008232&fileSn=1
밤콩,7,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=FILE_000000000008231&fileSn=1
노각,4,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=FILE_000000000008230&fileSn=1
삼채,6,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=FILE_000000000008229&fileSn=1
방아잎,8,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=FILE_000000000008228&fileSn=1
돼지감자,12,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=FILE_000000000008227&fileSn=1
섬초,11,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=FILE_000000000008226&fileSn=1
아마란스 ,10,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=FILE_000000000008225&fileSn=1
솔부추,1,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=FILE_000000000008224&fileSn=1
청경채,10,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=FILE_000000000008223&fileSn=1
히카마,10,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=FILE_000000000008222&fileSn=1
동아,9,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=FILE_000000000008221&fileSn=1
청귤,8,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=FILE_000000000008210&fileSn=1
호밀,8,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=FILE_000000000008208&fileSn=1
구기자,7,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=FILE_000000000008207&fileSn=1
보리수열매,6,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=FILE_000000000008206&fileSn=1
체리,6,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=FILE_000000000008205&fileSn=1
곰취,5,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=FILE_000000000008204&fileSn=1
토마토,7,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=FILE_000000000008203&fileSn=1
목이버섯,3,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=FILE_000000000008202&fileSn=1
봄동,2,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=FILE_000000000008201&fileSn=1
취청오이,1,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=FILE_000000000008200&fileSn=1
레드향,1,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=FILE_000000000008199&fileSn=1
방울양배추,1,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=FILE_000000000008198&fileSn=1
기장,9,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000158&fileSn=1
밀,5,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000157&fileSn=1
보리,6,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000156&fileSn=1
수수,10,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000155&fileSn=1
쌀,10,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000154&fileSn=1
조,9,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000153&fileSn=1
찹쌀,9,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000151&fileSn=1
흑미,9,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000150&fileSn=1
결명자,11,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000149&fileSn=1
아욱,7,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000148&fileSn=1
살구,6,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000147&fileSn=1
앵두,6,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000146&fileSn=1
파인애플,4,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000145&fileSn=1
블루베리,7,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000144&fileSn=1
호박씨,3,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000143&fileSn=1
머위대,3,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000142&fileSn=1
대두,10,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000141&fileSn=1
백태,10,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000140&fileSn=1
강낭콩,7,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000139&fileSn=1
쥐눈이콩,11,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000138&fileSn=1
강황,11,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000137&fileSn=1
깻잎,7,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000136&fileSn=1
대파,10,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000135&fileSn=1
상추,5,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000134&fileSn=1
샐러리,7,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000133&fileSn=1
엉겅퀴,6,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000132&fileSn=1
적채,6,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000131&fileSn=1
총각무,11,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000130&fileSn=1
치커리,8,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000129&fileSn=1
토란대,9,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000128&fileSn=1
콩잎,10,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000127&fileSn=1
수세미,10,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000126&fileSn=1
마늘,4,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000125&fileSn=1
노루궁뎅이버섯,9,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000124&fileSn=1
느타리버섯,10,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000123&fileSn=1
팽이버섯,1,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000122&fileSn=1
영지버섯,9,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000121&fileSn=1
능이버섯,9,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000120&fileSn=1
가지버섯,11,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000119&fileSn=1
상황버섯,12,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000118&fileSn=1
숙주나물,5,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000117&fileSn=1
새송이버섯,10,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000116&fileSn=1
고추냉이,7,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000083&fileSn=1
칡,9,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000040&fileSn=1
양송이버섯,10,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000018&fileSn=1
피망,5,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000013&fileSn=1
귀리,9,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000115&fileSn=1
참깨,9,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000114&fileSn=1
머루,10,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000113&fileSn=1
생강,10,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000112&fileSn=1
땅콩,10,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000111&fileSn=1
사과,9,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000110&fileSn=1
서리태,10,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000109&fileSn=1
들깨,10,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000108&fileSn=1
밤,10,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000107&fileSn=1
순무,10,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000106&fileSn=1
녹두,10,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000105&fileSn=1
모과,10,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000104&fileSn=1
메밀,10,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000103&fileSn=1
토란,10,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000102&fileSn=1
고들빼기,10,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000101&fileSn=1
홍고추,8,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000100&fileSn=1
호두,10,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000099&fileSn=1
갓,10,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000098&fileSn=1
표고버섯,9,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000097&fileSn=1
포도,8,https://www.foodnuri.go.kr/cmmn/file/getImage.do?atchFileId=MWCS_000000000000096&fileSn=1
